"Json_ID","Size","McCabe","Readability","#Revisions"
"44328.json","3","1","0.8503803014755249","1"
"58661.json","1","1","0.9816501140594482","4"
"74203.json","11","3","0.2467796504497528","1"
"64590.json","4","1","0.09020807594060898","3"
"41723.json","28","4","3.3314473694190383E-4","19"
"65262.json","3","1","0.9559065103530884","2"
"21024.json","3","1","0.7753094434738159","3"
"55656.json","3","1","0.010286582633852959","1"
"57.json","11","2","0.2550504505634308","3"
"68756.json","8","2","0.016898348927497864","1"
"49022.json","4","1","0.32310962677001953","3"
"41887.json","4","1","0.6726005673408508","2"
"35811.json","5","1","0.7224369645118713","2"
"38957.json","12","4","4.6478104195557535E-4","6"
"78870.json","4","1","0.2753167450428009","1"
"75179.json","9","2","0.03819654881954193","5"
"9935.json","3","1","0.690330445766449","3"
"58320.json","6","2","0.04684153571724892","6"
"32859.json","3","1","0.01985933445394039","2"
"22165.json","3","1","0.8911944031715393","4"
"28544.json","73","11","0.0","4"
"50466.json","3","1","0.12954498827457428","3"
"80507.json","3","1","0.6496914625167847","5"
"44985.json","3","1","0.16945438086986542","2"
"45830.json","4","1","0.003033506218343973","2"
"19865.json","3","1","0.6862616539001465","1"
"43045.json","3","1","0.6480802893638611","1"
"73377.json","3","1","0.23237374424934387","1"
"66190.json","3","1","0.06410001963376999","1"
"79370.json","17","4","0.003799067810177803","7"
"82224.json","1","1","0.6472553014755249","1"
"41977.json","6","1","0.22072185575962067","1"
"51790.json","2","1","0.0","3"
"36171.json","3","1","0.17265130579471588","2"
"28762.json","15","4","0.012726693414151669","1"
"79029.json","36","7","1.0231574560748413E-4","5"
"9510.json","3","1","0.8353855013847351","1"
"75938.json","3","1","0.9520270824432373","5"
"18739.json","14","5","7.263884763233364E-4","5"
"64258.json","4","1","0.4995483458042145","1"
"71193.json","3","1","0.9465662837028503","1"
"73768.json","3","1","0.9342509508132935","1"
"32103.json","5","1","0.03506730869412422","1"
"37774.json","3","1","0.40043318271636963","1"
"45421.json","6","3","0.02163005620241165","2"
"28019.json","6","2","0.8191956877708435","1"
"23469.json","15","3","0.0020159101113677025","1"
"63683.json","8","6","0.003207253757864237","2"
"15677.json","41","9","1.8147332593798637E-4","1"
"23227.json","3","1","0.9022036194801331","3"
"60224.json","4","1","0.306016743183136","1"
"47416.json","4","1","0.3401153087615967","3"
"26514.json","10","7","0.5984379649162292","1"
"8965.json","20","3","0.017562193796038628","2"
"74505.json","14","3","0.001015854417346418","9"
"16706.json","10","3","0.35512128472328186","3"
"5670.json","8","2","0.286068856716156","1"
